UTC time,Satellites,Speed (km/h),Heading (Degrees),Latitude,Longitude,BrakeTrigger,Dgps,Wav file,Dual Antenna Status,Height (m),Vertical velocity (km/h),Avi sync time (s),Avi file index,Elapsed time (s),Distance (m),Lateral acceleration (g),Longitudinal acceleration (g),Relative height (m),Gradient (%),Radius of turn (m),sampleperiod (s),ComboAcc (g),Air Fuel Ratio ((null)),Battery Voltage (V),Brake Position (%),Brake Pressure (bar),Clutch Position (%),Coolant Temperature (°C),Engine Speed (rpm),Exhaust Temperature (°C),Fuel Level (%),Gear ((null)),Head Temperature (°C),Indicated Lateral Acceleration (g),Indicated Longitudinal Acceleration (g),Indicated Vehicle Speed (km/h),Oil Pressure (bar),Oil Temperature (°C),Steering Angle (Degrees),Throttle Position (%),Water Temp (Calc) (F),Oil Temp (Calc) (F),Oil Press (Calc) (psi),Water Press (Calc) (psi),Brake Press (Calc) ((null))
195415.200,12,16.63,48.9,38°9.608862 N,122°27.262812 W,0,1,0,0,13.65,-0.14,11066.000,1,0.000,0.00,0.00,0.00,0.00,0,0.00,0.100,0.15,500,13.1999998092651,0,0.159999996423721,255,78.70,2433,-50.00,34,255,0.40,-0.15,-0.16,15.50,3.98000001907349,83.00,133.0,23,173.660003662109,181.399993896484,57.73,5.80,2.32060790061951
195415.300,12,17.02,47.8,38°9.609042 N,122°27.262572 W,0,1,0,0,13.65,-0.14,11166.000,1,0.100,0.47,0.10,0.11,0.00,-0.846212610918493,0.00,0.100,0.15,500,13.1999998092651,0,0.150000005960464,255,78.70,2480,-50.00,34,255,0.50,-0.15,-0.16,16.20,4.05000019073486,83.00,132.0,23,173.660003662109,181.399993896484,58.74,7.25,2.17557001113892
195415.400,12,17.18,46.1,38°9.609234 N,122°27.262344 W,0,1,0,0,13.61,-0.18,11266.000,1,0.200,0.94,0.14,0.05,-0.01,-1.04779090750335,0.00,0.100,0.13,500,13.1999998092651,0,0.140000000596046,255,78.70,2480,-50.00,34,255,0.50,-0.11,-0.20,16.70,4.1399998664856,83.00,132.0,23,173.660003662109,181.399993896484,60.05,7.25,2.03053188323975
195415.500,12,17.50,44.9,38°9.609426 N,122°27.262116 W,0,1,0,0,13.58,-0.18,11366.000,1,0.300,1.42,0.11,0.09,-0.01,-1.02839513226304,0.00,0.100,0.14,500,13.1999998092651,0,0.170000001788139,255,78.70,2533,-50.00,34,255,0.50,-0.11,-0.20,16.60,4.3600001335144,83.00,127.0,22,173.660003662109,181.399993896484,63.24,7.25,2.46564602851868
195415.600,12,17.98,43.3,38°9.609636 N,122°27.261894 W,0,1,0,0,13.55,-0.22,11466.000,1,0.400,1.92,0.14,0.13,-0.02,-1.20166898470097,22.04,0.100,0.16,500,13.1999998092651,0,0.159999996423721,255,78.70,2641,-50.00,34,255,0.50,-0.11,-0.20,17.00,4.46999979019165,83.00,118.0,22,173.660003662109,181.399993896484,64.83,7.25,2.32060790061951
195415.700,12,18.16,41.3,38°9.609858 N,122°27.261678 W,0,1,0,0,13.50,-0.22,11566.000,1,0.500,2.42,0.18,0.05,-0.02,-1.18929633300297,20.28,0.100,0.15,500,13.3000001907349,0,0.170000001788139,255,78.70,2698,-50.00,34,255,0.50,-0.09,-0.24,17.50,4.5,83.00,102.0,21,173.660003662109,181.399993896484,65.27,7.25,2.46564602851868
195415.800,12,18.28,40.1,38°9.610074 N,122°27.261456 W,0,1,0,0,13.46,-0.25,11666.000,1,0.600,2.92,0.11,0.03,-0.03,-1.37848038947541,20.32,0.100,0.14,500,13.3000001907349,0,0.129999995231628,255,78.70,2756,-50.00,34,255,0.50,-0.09,-0.24,17.70,4.40000009536743,83.00,102.0,21,173.660003662109,181.399993896484,63.82,7.25,1.88549399375916
195415.900,12,18.53,39.2,38°9.610296 N,122°27.261240 W,0,1,0,0,13.41,-0.29,11766.000,1,0.700,3.44,0.08,0.07,-0.04,-1.55432025473582,21.26,0.100,0.13,500,13.3000001907349,0,0.230000004172325,255,78.70,2756,-50.00,34,255,0.50,-0.09,-0.24,18.00,4.46999979019165,83.00,92.0,21,173.660003662109,181.399993896484,64.83,7.25,3.33587408065796
195416.000,12,18.74,37.8,38°9.610524 N,122°27.261030 W,0,1,0,0,13.34,-0.36,11866.000,1,0.800,3.95,0.13,0.06,-0.04,-1.92122958693564,20.86,0.100,0.13,500,13.3000001907349,0,0.119999997317791,255,78.70,2826,-50.00,34,255,0.50,-0.09,-0.24,18.40,4.51000022888184,83.00,77.0,18,173.660003662109,181.399993896484,65.41,7.25,1.74045598506927
195416.100,12,18.86,36.2,38°9.610764 N,122°27.260826 W,0,1,0,0,13.27,-0.40,11966.000,1,0.900,4.48,0.15,0.03,-0.05,-2.10001590921143,21.13,0.100,0.13,500,13.3000001907349,0,0.170000001788139,255,78.70,2875,-50.00,34,255,0.50,-0.04,-0.20,19.00,4.44000005722046,83.00,41.0,18,173.660003662109,181.399993896484,64.40,7.25,2.46564602851868
